symbol;currency_base;currency_quote
"ECC/USD";"ECC";"US Dollar"
"ECN/BTC";"E-coin";"Bitcoin"
"ECN/USD";"E-coin";"US Dollar"
"ECOB/BTC";"Ecobit";"Bitcoin"
"ECO/BTC";"EcoCoin";"Bitcoin"
"ECOB/USD";"Ecobit";"US Dollar"
"ECO/USD";"EcoCoin";"US Dollar"
"ECTE/BTC";"EurocoinToken";"Bitcoin"
"ECTE/USD";"EurocoinToken";"US Dollar"
"EDC/BTC";"EDC Blockchain";"Bitcoin"
"EDC/USD";"EDC Blockchain";"US Dollar"
"EDG/BTC";"Edgeless";"Bitcoin"
"EDG/ETH";"Edgeless";"Ethereum"
"EDG/USD";"Edgeless";"US Dollar"
"EDO/BTC";"Eidoo";"Bitcoin"
"EDO/ETH";"Eidoo";"Ethereum"
"EDO/USD";"Eidoo";"US Dollar"
"EDRC/BTC";"EDRCoin";"Bitcoin"
"EDRC/USD";"EDRCoin";"US Dollar"
"EDRL/BTC";"Endor Protocol";"Bitcoin"
"EDRL/USD";"Endor Protocol";"US Dollar"
"EER/USD";"Ethereum eRush";"US Dollar"
"EFI/ETH";"Efinity Token";"Ethereum"
"EFI/USD";"Efinity Token";"US Dollar"
"EGAS/USD";"ETHGAS";"US Dollar"
"EGC/BTC";"EverGreenCoin";"Bitcoin"
"EGCr/USD";"EverGrow Coin";"US Dollar"
"EGC/USD";"EverGreenCoin";"US Dollar"
"EGG/USD";"EggCoin";"US Dollar"
"EGLD/BNB";"Elrond";"Binance Coin"
"EGLD/BTC";"Elrond";"Bitcoin"
"EGLD/CAD";"Elrond";"Canadian Dollar"
"EGLD/EUR";"Elrond";"Euro"
"EGLD/INR";"Elrond";"Indian Rupee"
"EGLD/USD";"Elrond";"US Dollar"
"EGOLD/USD";"eGold";"US Dollar"
"EGO/USD";"EGO";"US Dollar"
"EGT/BTC";"Egretia";"Bitcoin"
"EGT/ETH";"Egretia";"Ethereum"
"EGT/USD";"Egretia";"US Dollar"
"EKT/BTC";"EDUCare";"Bitcoin"
"EKT/ETH";"EDUCare";"Ethereum"
"EKT/USD";"EDUCare";"US Dollar"
"ELA/BTC";"Elastos";"Bitcoin"
"ELA/ETH";"Elastos";"Ethereum"
"ELA/USD";"Elastos";"US Dollar"
"ELC/BTC";"Elacoin";"Bitcoin"
"ELC/USD";"Elacoin";"US Dollar"
"ELEC/BTC";"Electrify.Asia";"Bitcoin"
"ELEC/ETH";"Electrify.Asia";"Ethereum"
"ELEC/USD";"Electrify.Asia";"US Dollar"
"ELE/USD";"Elementrem";"US Dollar"
"ELF/BTC";"aelf";"Bitcoin"
"ELF/ETH";"aelf";"Ethereum"
"ELF/USD";"aelf";"US Dollar"
"ELITE/BTC";"Ethereum Lite";"Bitcoin"
"ELITE/USD";"Ethereum Lite";"US Dollar"
"ELIX/USD";"Elixir";"US Dollar"
"ELLA/USD";"Ellaism";"US Dollar"
"ELON/USD";"Dogelon Mars";"US Dollar"
"ELTC2/USD";"eLTC";"US Dollar"
"ELTCOIN/ETH";"ELTCOIN";"Ethereum"
"ELTCOIN/USD";"ELTCOIN";"US Dollar"
"EL/USD";"Elcoin";"US Dollar"
"ELYTE/USD";"ETHEREUM LYTE";"US Dollar"
"EMC2/BTC";"Einsteinium";"Bitcoin"
"EMC2/USD";"Einsteinium";"US Dollar"
"EMD/BTC";"Emerald Crypto";"Bitcoin"
"EMD/USD";"Emerald Crypto";"US Dollar"
"EMV/USD";"Ethereum Movie Venture";"US Dollar"
"ENG/BTC";"Enigma";"Bitcoin"
"ENG/ETH";"Enigma";"Ethereum"
"ENG/USD";"Enigma";"US Dollar"
"ENJ/BRL";"Enjin Coin";"Brazil Real"
"ENJ/BTC";"Enjin coin";"Bitcoin"
"ENJ/CAD";"Enjin Coin";"Canadian Dollar"
"ENJ/ETH";"Enjin coin";"Ethereum"
"ENJ/INR";"Enjin Coin";"Indian Rupee"
"ENJ/KRW";"Enjin Coin";"Korean Won"
"ENJ/TRY";"Enjin Coin";"Turkish Lira"
"ENJ/USD";"Enjin Coin";"US Dollar"
"ENRG/BTC";"Energycoin";"Bitcoin"
"ENRG/USD";"Energycoin";"US Dollar"
"ENS/USD";"Ethereum Name Service";"US Dollar"
"ENT/BTC";"Eternity";"Bitcoin"
"ENT/USD";"Eternity";"US Dollar"
"EOS/AUD";"EOS";"Australian Dollar"
"EOS/BCH";"EOS";"Bitcoin Cash"
"EOS/BNB";"EOS";"Binance Coin"
"EOS/BRL";"EOS";"Brazil Real"
"EOS/BTC";"EOS";"Bitcoin"
"EOS/CAD";"EOS";"Canadian Dollar"
"EOS/CNY";"EOS";"Chinese Yuan"
"EOSDAC/BTC";"eosDAC";"Bitcoin"
"EOSDAC/ETH";"eosDAC";"Ethereum"
"EOSDAC/USD";"eosDAC";"US Dollar"
"EOS/ETH";"EOS";"Ethereum"
"EOS/EUR";"EOS";"Euro"
"EOS/GBP";"EOS";"British Pound"
"EOS/HKD";"EOS";"Hong Kong Dollar"
"EOS/ILS";"EOS";"Israeli Shekel"
"EOS/INR";"EOS";"Indian Rupee"
"EOS/KRW";"EOS";"Korean Won"
"EOS/MXN";"EOS";"Mexican Peso"
"EOS/MYR";"EOS";"Malaysian Ringgit"
"EOS/PLN";"EOS";"Polish Zloty"
"EOS/RUB";"EOS";"Russian Ruble"
"EOS/SAR";"EOS";"Saudi Riyal"
"EOS/SEK";"EOS";"Swedish Krona"
"EOS/TRY";"EOS";"Turkish Lira"
"EOS/USD";"EOS";"US Dollar"
"EOS/VND";"EOS";"Vietnamese Dong"
"EOS/ZAR";"EOS";"South African Rand"
"EPS/BTC";"Ellipsis";"Bitcoin"
"EPS/USD";"Ellipsis";"US Dollar"
"EPX/BUSD";"Ellipsis X";"Binance USD"
"EPX/USD";"Ellipsis X";"US Dollar"
"EPY/USD";"Emphy";"US Dollar"
"EQT/BTC";"EquiTrader";"Bitcoin"
"ERC20/ETH";"ERC20";"Ethereum"
"ERC20/USD";"ERC20";"US Dollar"
"ERC/BTC";"EuropeCoin";"Bitcoin"
"ERC/USD";"EuropeCoin";"US Dollar"
"ERG/BTC";"Ergo";"Bitcoin"
"ERG/ETH";"Ergo";"Ethereum"
"ERG/USD";"Ergo";"US Dollar"
"ERY/USD";"Eryllium";"US Dollar"
"ESP/ETH";"Espers";"Ethereum"
"ESP/USD";"Espers";"US Dollar"
"ESS/BTC";"Essentia";"Bitcoin"
"ESS/ETH";"Essentia";"Ethereum"
"ESS/USD";"Essentia";"US Dollar"
"ETA/USD";"Etheera";"US Dollar"
"ETBS/USD";"Ethbits";"US Dollar"
"ETC/AUD";"Ethereum Classic";"Australian Dollar"
"ETC/BCH";"Ethereum Classic";"Bitcoin Cash"
"ETC/BNB";"Ethereum Classic";"Binance Coin"
"ETC/BRL";"Ethereum Classic";"Brazil Real"
"ETC/BTC";"Ethereum Classic";"Bitcoin"
"ETC/CAD";"Ethereum Classic";"Canadian Dollar"
"ETC/CNY";"Ethereum Classic";"Chinese Yuan"
"ETC/ETH";"Ethereum Classic";"Ethereum"
"ETC/EUR";"Ethereum Classic";"Euro"
"ETC/GBP";"Ethereum Classic";"British Pound"
"ETC/HKD";"Ethereum Classic";"Hong Kong Dollar"
"ETC/IDR";"Ethereum Classic";"Indonesian Rupiah"
"ETC/ILS";"Ethereum Classic";"Israeli Shekel"
"ETC/INR";"Ethereum Classic";"Indian Rupee"
"ETC/JPY";"Ethereum Classic";"Japanese Yen"
"ETC/KRW";"Ethereum Classic";"Korean Won"
"ETC/MXN";"Ethereum Classic";"Mexican Peso"
"ETC/MYR";"Ethereum Classic";"Malaysian Ringgit"
"ETC/PLN";"Ethereum Classic";"Polish Zloty"
"ETC/RUB";"Ethereum Classic";"Russian Ruble"
"ETC/SAR";"Ethereum Classic";"Saudi Riyal"
"ETC/SEK";"Ethereum Classic";"Swedish Krona"
"ETC/TRY";"Ethereum Classic";"Turkish Lira"
"ETC/USD";"Ethereum Classic";"US Dollar"
"ETC/VND";"Ethereum Classic";"Vietnamese Dong"
"ETC/ZAR";"Ethereum Classic";"South African Rand"
"ETH/AUD";"Ethereum";"Australian Dollar"
"ETH/BRL";"Ethereum";"Brazil Real"
"ETH/BTC";"Ethereum";"Bitcoin"
"ETH/CAD";"Ethereum";"Canadian Dollar"
"ETH/CNY";"Ethereum";"Chinese Yuan"
"ETH/DAI";"Ethereum";"Dai"
"ETHD/USD";"Ethereum Dark";"US Dollar"
"ETH/EUR";"Ethereum";"Euro"
"ETH/GBP";"Ethereum";"British Pound"
"ETH/HKD";"Ethereum";"Hong Kong Dollar"
"ETH/IDR";"Ethereum";"Indonesian Rupiah"
"ETH/ILS";"Ethereum";"Israeli Shekel"
"ETH/INR";"Ethereum";"Indian Rupee"
"ETH/JPY";"Ethereum";"Japanese Yen"
"ETH/KRW";"Ethereum";"Korean Won"
"ETH/LTC";"Ethereum";"Litecoin"
"ETHM/USD";"Ethereum Meta";"US Dollar"
"ETH/MXN";"Ethereum";"Mexican Peso"
"ETH/MYR";"Ethereum";"Malaysian Ringgit"
"ETH/NGN";"Ethereum";"Nigerian Naira"
"ETH/PLN";"Ethereum";"Polish Zloty"
"ETH/RUB";"Ethereum";"Russian Ruble"
"ETH/SAR";"Ethereum";"Saudi Riyal"
"ETH/SEK";"Ethereum";"Swedish Krona"
"ETH/SGD";"Ethereum";"Singapore Dollar"
"ETH/THB";"Ethereum";"Thai Baht"
"ETH/TRY";"Ethereum";"Turkish Lira"
"ETH/UAH";"Ethereum";"Ukrainian Hryvnia"
"ETH/USD";"Ethereum";"US Dollar"
"ETH/VND";"Ethereum";"Vietnamese Dong"
"ETH/XAU";"Ethereum";"Gold Spot"
"ETH/XRP";"Ethereum";"XRP"
"ETH/ZAR";"Ethereum";"South African Rand"
"ETN/BTC";"Electroneum";"Bitcoin"
"ETN/ETH";"Electroneum";"Ethereum"
"ETN/EUR";"Electroneum";"Euro"
"ETN/USD";"Electroneum";"US Dollar"
"ETP/BTC";"Metaverse ETP";"Bitcoin"
"ETP/ETH";"Metaverse ETP";"Ethereum"
"ETP/USD";"Metaverse ETP";"US Dollar"
"ETT/BTC";"EncryptoTel [WAVES]";"Bitcoin"
"ETT/USD";"EncryptoTel [WAVES]";"US Dollar"
"EUC/USD";"Eurocoin";"US Dollar"
"EUL/USD";"Euler";"US Dollar"
"EURE/USD";"Monerium EUR emoney";"US Dollar"
"EURS/USD";"STASIS EURO";"US Dollar"
"EUSD/USD";"eUSD";"US Dollar"
"EVC/ETH";"EventChain";"Ethereum"
"EVC/USD";"EventChain";"US Dollar"
"EVIL/BTC";"Evil Coin";"Bitcoin"
"EVIL/USD";"Evil Coin";"US Dollar"
"EVNN/BTC";"EvenCoin";"Bitcoin"
"EVNN/ETH";"EvenCoin";"Ethereum"
"EVNN/USD";"EvenCoin";"US Dollar"
"EVO/BTC";"Evotion";"Bitcoin"
"EVO/USD";"Evotion";"US Dollar"
"EVX/BTC";"Everex";"Bitcoin"
"EVX/ETH";"Everex";"Ethereum"
"EVX/USD";"Everex";"US Dollar"
"EWT/BTC";"Energy Web Token";"Bitcoin"
"EWT/USD";"Energy Web Token";"US Dollar"
"EXCL/BTC";"ExclusiveCoin";"Bitcoin"
"EXCL/USD";"ExclusiveCoin";"US Dollar"
"EXC/USD";"Eximchain";"US Dollar"
"EXMR/USD";"EXMR";"US Dollar"
"EXN/USD";"ExchangeN";"US Dollar"
"EXP/BTC";"Expanse";"Bitcoin"
"EXP/USD";"Expanse";"US Dollar"
"EXRN/ETH";"EXRNchain";"Ethereum"
"EXRN/USD";"EXRNchain";"US Dollar"
"FAIR/USD";"FairCoin";"US Dollar"
"FAP/USD";"FAPcoin";"US Dollar"
"FAZZ/BTC";"Fazzcoin";"Bitcoin"
"FAZZ/USD";"Fazzcoin";"US Dollar"
"FCN/USD";"Fantomcoin";"US Dollar"
"FCT/BTC";"Factom";"Bitcoin"
"FCT/USD";"Factom";"US Dollar"
"FC/USD";"Facecoin";"US Dollar"
"FDZ/BTC";"Friendz";"Bitcoin"
"FDZ/ETH";"Friendz";"Ethereum"
"FDZ/USD";"Friendz";"US Dollar"
"FEI/ETH";"Fei USD";"Ethereum"
"FEI/USD";"Fei USD";"US Dollar"
"FET/BNB";"Fetch";"Binance Coin"
"FET/BTC";"Fetch";"Bitcoin"
"FET/ETH";"Fetch";"Ethereum"
"FET/USD";"Fetch";"US Dollar"
"FFC/USD";"FireFlyCoin";"US Dollar"
"FIDYO/USD";"Fidyo";"US Dollar"
"FIDYO/WAVES";"Fidyo";"Waves"
"FIL/BTC";"Filecoin";"Bitcoin"
"FIL/CAD";"Filecoin";"Canadian Dollar"
"FIL/EUR";"Filecoin";"Euro"
"FIL/INR";"Filecoin";"Indian Rupee"
"FIL/USD";"Filecoin";"US Dollar"
"FINE/USD";"Refinable";"US Dollar"
"FIO/BNB";"FIO Protocol";"Binance Coin"
"FIO/BTC";"FIO Protocol";"Bitcoin"
"FIO/USD";"FIO Protocol";"US Dollar"
"FIRE/BTC";"Firecoin";"Bitcoin"
"FIRE/USD";"Firecoin";"US Dollar"
"FIRO/BTC";"Firo";"Bitcoin"
"FIRO/ETH";"Firo";"Ethereum"
"FIRO/IDR";"Firo";"Indonesian Rupiah"
"FIRO/USD";"Firo";"US Dollar"
"FITFI/USD";"Step App";"US Dollar"
"FJC/USD";"FujiCoin";"US Dollar"
"FLASH/BTC";"Flash";"Bitcoin"
"FLASH/USD";"Flash";"US Dollar"
"FLAX/USD";"Flaxscript";"US Dollar"
"FLDC/BTC";"FoldingCoin";"Bitcoin"
"FLDC/USD";"FoldingCoin";"US Dollar"
"FLIK/USD";"FLiK";"US Dollar"
"FLM/USD";"FolmCoin";"US Dollar"
"FLO/BTC";"FLO";"Bitcoin"
"FLO/USD";"FLO";"US Dollar"
"FLOW/BTC";"Flow";"Bitcoin"
"FLOW/CAD";"Flow";"Canadian Dollar"
"FLOW/USD";"Flow";"US Dollar"
"FLUX/BTC";"Flux";"Bitcoin"
"FLUX/USD";"Flux";"US Dollar"
"FLUZ/USD";"Fluz Fluz";"US Dollar"
"FLVR/USD";"FlavorCoin";"US Dollar"
"FLY/BTC";"Flycoin";"Bitcoin"
"FLY/USD";"Flycoin";"US Dollar"
"FNC/BTC";"FinCoin";"Bitcoin"
"FNC/USD";"FinCoin";"US Dollar"
"FNKOS/ETH";"FNKOS";"Ethereum"
"FNKOS/USD";"FNKOS";"US Dollar"
"FNTB/BTC";"FinTab";"Bitcoin"
"FNTB/USD";"FinTab";"US Dollar"
"FOIN/BTC";"FOIN";"Bitcoin"
"FOIN/USD";"FOIN";"US Dollar"
"FONZ/USD";"Fonziecoin";"US Dollar"
"FOR/USD";"FORCE";"US Dollar"
"FRAX/USD";"FRAX";"US Dollar"
"FRC/BTC";"Freicoin";"Bitcoin"
"FRC/USD";"Freicoin";"US Dollar"
"FRD/USD";"Farad";"US Dollar"
"FRK/BTC";"Franko";"Bitcoin"
"FRK/USD";"Franko";"US Dollar"
"FRN/BTC";"Francs";"Bitcoin"
"FRN/USD";"Francs";"US Dollar"
"FRST/BTC";"FirstCoin";"Bitcoin"
"FRST/ETH";"FirstCoin";"Ethereum"
"FRST/USD";"FirstCoin";"US Dollar"
"FRWC/USD";"FrankyWillCoin";"US Dollar"
"FSN/BNB";"Fusion";"Binance Coin"
"FSN/USD";"Fusion";"US Dollar"
"FST/USD";"Fastcoin";"US Dollar"
"FTC/BTC";"Feathercoin";"Bitcoin"
"FTC/USD";"Feathercoin";"US Dollar"
"FTM/BNB";"Fantom";"Binance Coin"
"FTM/BTC";"Fantom";"Bitcoin"
"FTM/CAD";"Fantom";"Canadian Dollar"
"FTM/ETH";"Fantom";"Ethereum"
"FTM/EUR";"Fantom";"Euro"
"FTM/TRY";"Fantom";"Turkish Lira"
"FTM/USD";"Fantom";"US Dollar"
"FTO/BTC";"FuturoCoin";"Bitcoin"
"FTO/DOGE";"FuturoCoin";"Dogecoin"
"FTO/ETH";"FuturoCoin";"Ethereum"
"FTOKEN/BTC";"Flash Token";"Bitcoin"
"FTOKEN/USD";"Flash Token";"US Dollar"
"FTO/RUB";"FuturoCoin";"Russian Ruble"
"FTO/USD";"FuturoCoin";"US Dollar"
"FTO/WAVES";"FuturoCoin";"Waves"
"FTT/BTC";"FTX Token";"Bitcoin"
"FTT/CAD";"FTX Token";"Canadian Dollar"
"FTT/INR";"FTX Token";"Indian Rupee"
"FTT/USD";"FTX Token";"US Dollar"
"FT/USD";"Fabric Token";"US Dollar"
"FUCK/USD";"FuckToken";"US Dollar"
"FUEL/ETH";"Etherparty";"Ethereum"
"FUEL/USD";"Etherparty";"US Dollar"
"FUN/BTC";"FunFair";"Bitcoin"
"FUN/ETH";"FunFair";"Ethereum"
"FUNK/USD";"The Cypherfunks";"US Dollar"
"FUN/USD";"FunFair";"US Dollar"
"FUZZ/BTC";"FuzzBalls";"Bitcoin"
"FUZZ/USD";"FuzzBalls";"US Dollar"
"FX/BTC";"Function X";"Bitcoin"
"FXC/ETH";"Flexacoin";"Ethereum"
"FXC/USD";"Flexacoin";"US Dollar"
"FX/ETH";"Function X";"Ethereum"
"FXS/BTC";"Frax Share";"Bitcoin"
"FXS/USD";"Frax Share";"US Dollar"
"FX/USD";"Function X";"US Dollar"
"FYP/BTC";"FlypMe";"Bitcoin"
"FYP/USD";"FlypMe";"US Dollar"
"GAIN/USD";"UGAIN";"US Dollar"
"GALA/BRL";"Gala";"Brazil Real"
"GALA/BTC";"Gala";"Bitcoin"
"GALA/CAD";"Gala";"Canadian Dollar"
"GALA/TRY";"Gala";"Turkish Lira"
"GALA/USD";"Gala";"US Dollar"
"GAL/TRY";"Project Galaxy";"Turkish Lira"
"GAL/USD";"Project Galaxy";"US Dollar"
"GAME/BTC";"GameCredits";"Bitcoin"
"GAME/EUR";"GameCredits";"Euro"
"GAME/PLN";"GameCredits";"Polish Zloty"
"GAME/USD";"GameCredits";"US Dollar"
"GAM/USD";"Gambit";"US Dollar"
"GAP/USD";"Gapcoin";"US Dollar"
"GAS/BTC";"Gas";"Bitcoin"
"GAS/ETH";"Gas";"Ethereum"
"GAS/USD";"Gas";"US Dollar"
"GB/BTC";"GoldBlocks";"Bitcoin"
"GBT/USD";"GameBet Coin";"US Dollar"
"GB/USD";"GoldBlocks";"US Dollar"
"GBX/USD";"GoByte";"US Dollar"
"GBYTE/BTC";"Obyte";"Bitcoin"
"GBYTE/USD";"Obyte";"US Dollar"
"GCC/USD";"GuccioneCoin";"US Dollar"
"GCN/DOGE";"GCN Coin";"Dogecoin"
"GCN/USD";"GCN Coin";"US Dollar"
"GCR/BTC";"Global Currency Reserve ";"Bitcoin"
"GCR/USD";"Global Currency Reserve";"US Dollar"
"GEERT/USD";"GeertCoin";"US Dollar"
"GEN/ETH";"DAOstack";"Ethereum"
"GEN/USD";"DAOstack";"US Dollar"
"GEO/BTC";"GeoCoin";"Bitcoin"
"GEO/USD";"GeoCoin";"US Dollar"
"GHO/USD";"GHO";"US Dollar"
"GIM/USD";"Gimli";"US Dollar"
"GIN/ETH";"GINcoin";"Ethereum"
"GIN/USD";"GINcoin";"US Dollar"
"GLCn/BTC";"GlobalCoin";"Bitcoin"
"GLCn/USD";"GlobalCoin";"US Dollar"
"GLMR/BTC";"Moonbeam";"Bitcoin"
"GLMR/USD";"Moonbeam";"US Dollar"
"GLS/USD";"GlassCoin";"US Dollar"
"GLT/BTC";"GlobalToken";"Bitcoin"
"GLT/USD";"GlobalToken";"US Dollar"
"GML/BTC";"GameLeagueCoin";"Bitcoin"
"GML/USD";"GameLeagueCoin";"US Dollar"
"GMTn/BTC";"STEPN";"Bitcoin"
"GMTn/USD";"STEPN";"US Dollar"
"GMT/USD";"Mercury Protocol";"US Dollar"
"GMX/USD";"GMX";"US Dollar"
"GMX/USD";"GoldMaxCoin";"US Dollar"
"GNO/BTC";"Gnosis";"Bitcoin"
"GNO/CAD";"Gnosis";"Canadian Dollar"
"GNO/ETH";"Gnosis";"Ethereum"
"GNO/EUR";"Gnosis";"Euro"
"GNO/USD";"Gnosis";"US Dollar"
"GNS/USD";"Gains Network";"US Dollar"
"GNT/AUD";"Golem";"Australian Dollar"
"GNT/BTC";"Golem";"Bitcoin"
"GNT/ETH";"Golem";"Ethereum"
"GNT/INR";"Golem";"Indian Rupee"
"GNT/KRW";"Golem";"Korean Won"
"GNT/USD";"Golem";"US Dollar"
"GNX/BTC";"Genaro Network";"Bitcoin"
"GNX/ETH";"Genaro Network";"Ethereum"
"GNX/USD";"Genaro Network";"US Dollar"
"GO/BTC";"GoChain";"Bitcoin"
"GOD/BTC";"Bitcoin God";"Bitcoin"
"GOD/USD";"Bitcoin God";"US Dollar"
"GO/ETH";"GoChain";"Ethereum"
"GOLF/USD";"Golfcoin";"US Dollar"
"GOOD/USD";"Goodomy";"US Dollar"
"GOT/BTC";"GoNetwork";"Bitcoin"
"GOT/USD";"GoNetwork";"US Dollar"
"GO/USD";"GoChain";"US Dollar"
"GP/BTC";"GoldPieces";"Bitcoin"
"GP/USD";"GoldPieces";"US Dollar"
"GPU/USD";"GPU Coin";"US Dollar"
"GRC/BTC";"GridCoin";"Bitcoin"
"GRC/USD";"GridCoin";"US Dollar"
"GRE/USD";"Greencoin";"US Dollar"
"GRFT/BTC";"Graft";"Bitcoin"
"GRFT/USD";"Graft";"US Dollar"
"GRIN/BTC";"Grin";"Bitcoin"
"GRIN/ETH";"Grin";"Ethereum"
"GRIN/USD";"Grin";"US Dollar"
"GRS/BTC";"Groestlcoin";"Bitcoin"
"GRS/ETH";"Groestlcoin";"Ethereum"
"GRS/KRW";"Groestlcoin";"Korean Won"
"GRS/USD";"Groestlcoin";"US Dollar"
"GRT/AUD";"The Graph";"Australian Dollar"
"GRT/BTC";"The Graph";"Bitcoin"
"GRT/CAD";"The Graph";"Canadian Dollar"
"GRT/EUR";"The Graph";"Euro"
"GRT/INR";"The Graph";"Indian Rupee"
"GRT/USD";"The Graph";"US Dollar"
"GRV/USD";"Gravium";"US Dollar"
"GRWI/USD";"Growers International";"US Dollar"
"GRX/USD";"GOLD Reward Token";"US Dollar"
"GSC/ETH";"Global Social Chain";"Ethereum"
"GSC/USD";"Global Social Chain";"US Dollar"
"GSR/BTC";"GeyserCoin";"Bitcoin"
"GSR/USD";"GeyserCoin";"US Dollar"
"GST/USD";"Green Satoshi Token (SOL)";"US Dollar"
"GT/BTC";"GateToken";"Bitcoin"
"GT/CAD";"GateToken";"Canadian Dollar"
"GTC/BTC";"Global Tour Coin";"Bitcoin"
"GTC/ETH";"Global Tour Coin";"Ethereum"
"GTCG/USD";"Game.com";"US Dollar"
"GTC/USD";"Global Tour Coin";"US Dollar"
"GT/ETH";"GateToken";"Ethereum"
"GTO/BTC";"Gifto";"Bitcoin"
"GTO/USD";"Gifto";"US Dollar"
"GT/USD";"GateToken";"US Dollar"
"GUESS/BTC";"Peerguess";"Bitcoin"
"GUESS/USD";"Peerguess";"US Dollar"
"GUN/BTC";"Guncoin";"Bitcoin"
"GUN/DOGE";"Guncoin";"Dogecoin"
"GUN/USD";"Guncoin";"US Dollar"
"GUP/BTC";"Matchpool";"Bitcoin"
"GUP/USD";"Matchpool";"US Dollar"
"GUSD/USD";"Gemini Dollar";"US Dollar"
"GVT/BTC";"Genesis Vision";"Bitcoin"
"GVT/ETH";"Genesis Vision";"Ethereum"
"GVT/USD";"Genesis Vision";"US Dollar"
"GXC/BTC";"GXChain";"Bitcoin"
"GXC/ETH";"GXChain";"Ethereum"
"GXC/USD";"GXChain";"US Dollar"
"GXS/BTC";"GXChain";"Bitcoin"
"GXS/ETH";"GXChain";"Ethereum"
"GXS/USD";"GXChain";"US Dollar"
"HAC/BTC";"Hackspace Capital";"Bitcoin"
"HAC/USD";"Hackspace Capital";"US Dollar"
"HALLO/USD";"Halloween Coin";"US Dollar"
"HALLO/WAVES";"Halloween Coin";"Waves"
"HBAR/BNB";"Hedera Hashgraph";"Binance Coin"
"HBAR/BTC";"Hedera Hashgraph";"Bitcoin"
"HBAR/INR";"Hedera Hashgraph";"Indian Rupee"
"HBAR/KRW";"Hedera Hashgraph";"Korean Won"
"HBAR/USD";"Hedera Hashgraph";"US Dollar"
"HBC/USD";"HomeBlockCoin";"US Dollar"
"HCA/BTC";"HyperCash";"Bitcoin"
"HCA/ETH";"HyperCash";"Ethereum"
"HCA/USD";"HyperCash";"US Dollar"
"HCC/USD";"Happy Creator Coin";"US Dollar"
"HC/USD";"Harvest Masternode Coin";"US Dollar"
"HDG/BTC";"Hedge";"Bitcoin"
"HDG/ETH";"Hedge";"Ethereum"
"HDG/USD";"Hedge";"US Dollar"
"HEDG/USD";"HedgeTrade";"US Dollar"
"HELP/BTC";"HELPICO";"Bitcoin"
"HELP/USD";"Helpico";"US Dollar"
"HER/ETH";"HeroNode";"Ethereum"
"HEROm/ETH";"Metahero";"Ethereum"
"HEROm/USD";"Metahero";"US Dollar"
"HER/USD";"HeroNode";"US Dollar"
"HGT/BTC";"HelloGold";"Bitcoin"
"HGT/ETH";"HelloGold";"Ethereum"
"HGT/USD";"HelloGold";"US Dollar"
"HIGH/USD";"High Gain";"US Dollar"
"HKN/BTC";"Hacken";"Bitcoin"
"HKN/USD";"Hacken";"US Dollar"
"HMC/USD";"HarmonyCoin";"US Dollar"
"HMP/USD";"HempCoin";"US Dollar"
"HMQ/BTC";"Humaniq";"Bitcoin"
"HMQ/ETH";"Humaniq";"Ethereum"
"HMQ/USD";"Humaniq";"US Dollar"
"HNC/BTC";"Hellenic Coin";"Bitcoin"
"HNC/USD";"Hellenic Coin";"US Dollar"
"HNT/BRL";"Helium";"Brazil Real"
"HNT/BTC";"Helium";"Bitcoin"
"HNT/CAD";"Helium";"Canadian Dollar"
"HNT/USD";"Helium";"US Dollar"
"HODL/USD";"HOdlcoin";"US Dollar"
"HOHOHO/USD";"Santa Floki";"US Dollar"
"HOT/BNB";"Holo";"Binance Coin"
"HOT/BTC";"Holo";"Bitcoin"
"HOT/CAD";"Holo";"Canadian Dollar"
"HOT/ETH";"Holo";"Ethereum"
"HOT/EUR";"Holo";"Euro"
"HOTL/BTC";"Hydro Protocol";"Bitcoin"
"HOTL/ETH";"Hydro Protocol";"Ethereum"
"HOTL/USD";"Hydro Protocol";"US Dollar"
"HOT/TRY";"Holo";"Turkish Lira"
"HOT/USD";"Holo";"US Dollar"
"HPB/BTC";"High Performance Blockchain ";"Bitcoin"
"HPB/ETH";"High Performance Blockchain";"Ethereum"
"HPB/USD";"High Performance Blockchain";"US Dollar"
"HPC/BTC";"Happycoin";"Bitcoin"
"HPC/ETH";"Happycoin";"Ethereum"
"HPC/USD";"Happycoin";"US Dollar"
"HST/BTC";"Decision Token";"Bitcoin"
"HST/USD";"Decision Token";"US Dollar"
"HT/BTC";"Huobi Token";"Bitcoin"
"HTC/USD";"HitCoin";"US Dollar"
"HT/ETH";"Huobi Token";"Ethereum"
"HTML5/USD";"HTML5COIN";"US Dollar"
"HTR/BTC";"Hathor";"Bitcoin"
"HTR/USD";"Hathor";"US Dollar"
"HT/USD";"Huobi Token";"US Dollar"
"HUC/USD";"HunterCoin";"US Dollar"
"HUNC/USD";"Huncoin";"US Dollar"
"HUSD/USD";"HUSD";"US Dollar"
"HVCO/BTC";"High Voltage";"Bitcoin"
"HVCO/USD";"High Voltage";"US Dollar"
"HVN/USD";"Hiveterminal Token";"US Dollar"
"HXX/BTC";"Hexx";"Bitcoin"
"HXX/USD";"Hexx";"US Dollar"
"HYDRO/BTC";"Hydro";"Bitcoin"
"HYDRO/USD";"Hydro";"US Dollar"
"HYPER/USD";"Hyper";"US Dollar"
"HYP/USD";"HyperStake";"US Dollar"
"HYTV/USD";"Hyper TV";"US Dollar"
