symbol;currency_base;currency_quote
"ATOM/INR";"Cosmos";"Indian Rupee"
"ATOM/TRY";"Cosmos";"Turkish Lira"
"ATOM/USD";"Cosmos";"US Dollar"
"ATS/BNT";"Authorship";"Bancor"
"ATS/USD";"Authorship";"US Dollar"
"ATX/BTC";"Artex Coin";"Bitcoin"
"ATXN/BTC";"Aston";"Bitcoin"
"ATXN/USD";"Aston";"US Dollar"
"ATX/USD";"Artex Coin";"US Dollar"
"AUDIO/BTC";"Audius";"Bitcoin"
"AUDIO/EUR";"Audius";"Euro"
"AUDIO/USD";"Audius";"US Dollar"
"AURA/USD";"Aurora-DAO";"US Dollar"
"AUR/BTC";"Auroracoin";"Bitcoin"
"AUR/USD";"Auroracoin";"US Dollar"
"AUTO/BTC";"Cube";"Bitcoin"
"AUTO/USD";"Cube";"US Dollar"
"AU/USD";"AurumCoin";"US Dollar"
"AVAX/BRL";"Avalanche";"Brazil Real"
"AVAX/BTC";"Avalanche";"Bitcoin"
"AVAX/CAD";"Avalanche";"Canadian Dollar"
"AVAX/EUR";"Avalanche";"Euro"
"AVAX/TRY";"Avalanche";"Turkish Lira"
"AVAX/USD";"Avalanche";"US Dollar"
"AV/BTC";"AvatarCoin";"Bitcoin"
"AVT/BTC";"Aventus";"Bitcoin"
"AVT/ETH";"Aventus";"Ethereum"
"AVT/USD";"Aventus";"US Dollar"
"AV/USD";"AvatarCoin";"US Dollar"
"AWR/USD";"AWARE";"US Dollar"
"AXIOM/BTC";"Axiom";"Bitcoin"
"AXIOM/USD";"Axiom";"US Dollar"
"AXPR/BTC";"aXpire";"Bitcoin"
"AXPR/ETH";"aXpire";"Ethereum"
"AXPR/USD";"aXpire";"US Dollar"
"AXS/BRL";"Axie Infinity";"Brazil Real"
"AXS/CAD";"Axie Infinity";"Canadian Dollar"
"AXS/EUR";"Axie Infinity";"Euro"
"AXS/KRW";"Axie Infinity";"Korean Won"
"AXS/USD";"Axie Infinity";"US Dollar"
"B2B/BTC";"B2BX";"Bitcoin"
"B2B/USD";"B2BX";"US Dollar"
"B2M/USD";"Bit2Me";"US Dollar"
"B2X/BTC";"SegWit2x";"Bitcoin"
"B2X/USD";"SegWit2x";"US Dollar"
"BAC/USD";"BitAlphaCoin";"US Dollar"
"BADGER/USD";"Badger DAO";"US Dollar"
"BAKE/INR";"BakeryToken";"Indian Rupee"
"BAKE/USD";"BakeryToken";"US Dollar"
"BAL/USD";"Balancer";"US Dollar"
"BAN/BTC";"Banano Coin";"Bitcoin"
"BANCA/ETH";"Banca";"Ethereum"
"BANCA/USD";"Banca";"US Dollar"
"BAND/BNB";"Band Protocol";"Binance Coin"
"BAND/BTC";"Band Protocol";"Bitcoin"
"BAND/USD";"Band Protocol";"US Dollar"
"BAN/USD";"Banano Coin";"US Dollar"
"BASH/USD";"LuckChain";"US Dollar"
"BAT/BTC";"Basic Attention Token ";"Bitcoin"
"BAT/ETH";"Basic Attention Token";"Ethereum"
"BAT/EUR";"Basic Attention Token";"Euro"
"BAT/INR";"Basic Attention Token";"Indian Rupee"
"BAT/JPY";"Basic Attention Token";"Japanese Yen"
"BAT/MXN";"Basic Attention Token";"Mexican Peso"
"BAT/TRY";"Basic Attention Token";"Turkish Lira"
